origen,origen_lat,origen_lon,destino,destino_lat,destino_lon,poblacion_total
31 YucatÃ¡n,20.833333,-89,41 Guerrero,17.613056,-99.95,448
31 YucatÃ¡n,20.833333,-89,53 San Luis PotosÃ­,22.603333,-100.429722,447
05 Coahuila de Zaragoza,27.302222,-102.044722,33 Tlaxcala,19.428889,-98.160833,445
26 Sonora,29.646111,-110.868889,28 Campeche,18.836389,-90.403333,440
04 Campeche,18.836389,-90.403333,29 Sonora,29.646111,-110.868889,439
56 Sonora,29.646111,-110.868889,54 Tlaxcala,19.428889,-98.160833,432
03 Baja California Sur,25.846111,-111.972778,7 Coahuila de Zaragoza,27.302222,-102.044722,429
49 Nuevo LeÃ³n,25.566667,-99.970556,47 Tlaxcala,19.428889,-98.160833,428
32 Zacatecas,23.292778,-102.700556,59 Tlaxcala,19.428889,-98.160833,423
40 Durango,24.934722,-104.911944,36 Tabasco,17.972222,-92.588889,414
01 Aguascalientes,21.880833,-102.296111,31 YucatÃ¡n,20.833333,-89,410
48 Nayarit,21.743889,-105.228333,48 YucatÃ¡n,20.833333,-89,400
23 Quintana Roo,19.6,-87.916667,39 Nayarit,21.743889,-105.228333,397
04 Campeche,18.836389,-90.403333,15 Guerrero,17.613056,-99.95,394
53 Quintana Roo,19.6,-87.916667,48 Sonora,29.646111,-110.868889,390
52 QuerÃ©taro,20.591,-100.391,48 Tabasco,17.972222,-92.588889,387
06 Colima,19.096667,-103.960833,36 YucatÃ¡n,20.833333,-89,374
04 Campeche,18.836389,-90.403333,27 San Luis PotosÃ­,22.603333,-100.429722,373
29 Tlaxcala,19.428889,-98.160833,31 Campeche,18.836389,-90.403333,371
29 Tlaxcala,19.428889,-98.160833,45 Nayarit,21.743889,-105.228333,371
32 Zacatecas,23.292778,-102.700556,57 Tabasco,17.972222,-92.588889,365
48 Nayarit,21.743889,-105.228333,44 Tabasco,17.972222,-92.588889,361
31 YucatÃ¡n,20.833333,-89,30 Aguascalientes,21.880833,-102.296111,358
03 Baja California Sur,25.846111,-111.972778,8 Colima,19.096667,-103.960833,357
53 Quintana Roo,19.6,-87.916667,47 Sinaloa,25.002778,-107.502778,344
